,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
167527,sg:754c4b511582444bb76db0f6f9e3a05e,sg:cfe5c865665f4d06a0a442f9deebfe85,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.594148,-97.621433,12207 N MacArthur Blvd,Oklahoma City,OK,73162,US,14057208888.0,,"Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner"
167625,sg:7cf0094c556d4e069b642a7117bdfa06,,Baskin Robbins,SG_BRAND_963fde2041e158441c414f9defe1a2cf,Baskin Robbins,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.54637,-97.56515300000001,7502 N May Ave,Oklahoma City,OK,73116,US,14054184191.0,,"Snacks,Counter Service,Ice Cream Shop,Dessert,Bakery"
167979,sg:978ab1309e4440dc87633b68334eefda,,Hummus cafe,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.607422,-97.568333,3000 W Memorial Rd,Oklahoma City,OK,73120,US,14052165468.0,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""21:00""]] }","Mediterranean Food,Middle Eastern Food,Greek Food"
168069,sg:9f274b409ebc4b448adb8ba205125f43,,Parkway Spa,,,Personal Care Services,Other Personal Care Services,812199.0,35.595943,-97.58766700000001,12330 Saint Andrews Dr,Oklahoma City,OK,73120,US,14054738874.0,"{ ""Mon"": [], ""Tue"": [[""9:30"", ""17:00""]], ""Wed"": [[""9:30"", ""17:00""]], ""Thu"": [[""9:30"", ""17:00""]], ""Fri"": [[""9:30"", ""17:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [] }",
168712,sg:d52b50e2c99d470593c70d230e43b233,,Show Biz Dancewear Boutique,,,Clothing Stores,Family Clothing Stores,448140.0,35.537237,-97.600197,4427 NW 63rd St,Oklahoma City,OK,73116,US,14058404406.0,,
168879,sg:e252a3aca45e4e21b37519b2fa63c015,,Mt Rose Head Start,,,Child Day Care Services,Child Day Care Services,624410.0,35.476099,-97.539152,1701 NW 7th St,Oklahoma City,OK,73106,US,14052326037.0,,
169211,sg:fbac12cc271844e4a181d3540f23e16e,,Chick N Beer,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.493502,-97.524766,715 NW 23rd St,Oklahoma City,OK,73103,US,14056046995.0,,"Bar or Pub,Late Night,Chicken Wings,Korean Food"
169339,sg:05022e7a40bd48be9ebe8b675d8b31b8,,St Johns Child Development P,,,Child Day Care Services,Child Day Care Services,624410.0,35.524848,-97.56909499999999,5401 N Brookline Ave,Oklahoma City,OK,73112,US,14059438583.0,,
169798,sg:283cd1d1e1a849e1926f1f6bd424153a,,Fresenius Kidney Care,SG_BRAND_e5014d09354c41dedf58bc47f2cdf944,Fresenius Kidney Care,Outpatient Care Centers,Kidney Dialysis Centers,621492.0,35.521665000000006,-97.507173,200 NE 50th St,Oklahoma City,OK,73105,US,,,
170042,sg:3995c4c4446d4eceab9e4aaef4ca19c7,,Simply Self Storage,SG_BRAND_27e685bc2246ceb2dca0be8e0e4eace0,Simply Self Storage,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130.0,35.566479,-97.619617,5801 W Britton Rd,Oklahoma City,OK,73132,US,14057208313.0,,
170053,sg:3a6cacbf7f8141898a85799f57060f09,,Lowe's,SG_BRAND_4f8a39fb928268edb1ab256922e436d7,Lowe's,Building Material and Supplies Dealers,Hardware Stores,444130.0,35.50994,-97.567661,3801 N May Ave,Oklahoma City,OK,73112,US,14052461200.0,"{ ""Mon"": [[""6:00"", ""22:00""]], ""Tue"": [[""6:00"", ""22:00""]], ""Wed"": [[""6:00"", ""22:00""]], ""Thu"": [], ""Fri"": [[""6:00"", ""22:00""]], ""Sat"": [[""6:00"", ""22:00""]], ""Sun"": [[""8:00"", ""20:00""]] }",
170334,sg:4ee365b5942e4ae5a93da3ea7fbb8054,,MedNoc Training College,,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310.0,35.529505,-97.564775,2828 NW 57th St Ste 200,Oklahoma City,OK,73112,US,14055892573.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""8:00"", ""12:00""]], ""Sun"": [] }",
