,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
612364,sg:32b9ccc403e74ff6bfe6c33825179b2c,,Designer Tattoos,,,Personal Care Services,Other Personal Care Services,812199.0,35.492125,-97.35476700000001,9908 NE 23rd St,Oklahoma City,OK,73141,US,14057698667.0,"{ ""Mon"": [[""12:00"", ""22:00""]], ""Tue"": [[""12:00"", ""22:00""]], ""Wed"": [[""12:00"", ""22:00""]], ""Thu"": [[""12:00"", ""22:00""]], ""Fri"": [[""12:00"", ""22:00""]], ""Sat"": [[""12:00"", ""22:00""]], ""Sun"": [] }",
612789,sg:51ac556507fd46fe827018328742fea7,,The Spa at 10 North,,,Personal Care Services,Other Personal Care Services,812199.0,35.466989,-97.513814,10 N Broadway Ave,Oklahoma City,OK,73102,US,14056051772.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""19:00""]], ""Sun"": [[""10:00"", ""15:00""]] }",
612821,sg:5422ae03d2a74f908be65b218dc4e9cf,,Coolgreens,SG_BRAND_3d7c243c33274708,Coolgreens,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.615613,-97.56758,14201 N May Ave Ste 209,Oklahoma City,OK,73134,US,14052869304.0,"{ ""Mon"": [[""10:30"", ""20:00""]], ""Tue"": [[""10:30"", ""20:00""]], ""Wed"": [[""10:30"", ""20:00""]], ""Thu"": [[""10:30"", ""20:00""]], ""Fri"": [[""10:30"", ""20:00""]], ""Sat"": [[""10:30"", ""20:00""]], ""Sun"": [[""10:30"", ""19:00""]] }","Counter Service,Salad,Sandwich Shop,Lunch,Healthy Food,Vegetarian Food,Catering,Dinner"
614029,sg:b57fcf003d564113b6b4c71ba5914f3a,,Anhueser Bush Sales of Oklahoma,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.389534000000005,-97.483173,1700 Beechwood Ave,Oklahoma City,OK,73149,US,14056192600.0,,Brewery or Brewpub
614245,sg:c4e6cc78204f4df9958a06565c1dbb4c,,CVS,SG_BRAND_72f1a850d966375fa159121c7c8b09a1,CVS,Health and Personal Care Stores,Pharmacies and Drug Stores,446110.0,35.521669,-97.56662299999999,5025 N May Ave,Oklahoma City,OK,73112,US,14059476743.0,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",
615722,sg:31a9610faa36459d85814e90257f3c05,,Sandy Ditto & Associates,,,Depository Credit Intermediation,Commercial Banking,522110.0,35.608509999999995,-97.481602,1800 E Memorial Rd Ste 106,Oklahoma City,OK,73131,US,,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [[""13:00"", ""15:00""]] }",
617056,sg:907bb6a69a5b4d2e88a953a8b853c5ff,,Holiday Inn Express,SG_BRAND_ae28744c5d427b6128434ff7c0bb6a7e,Holiday Inn Express,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,35.388799,-97.523259,7817 S Walker Ave,Oklahoma City,OK,73139,US,14056068811.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",
617560,sg:ba53e7861fed484da7416de37fb23323,,Unleashed Pet Grooming School,,,Other Personal Services,Pet Care (except Veterinary) Services,812910.0,35.388243,-97.521807,7825 S Walker Ave Ste B,Oklahoma City,OK,73139,US,14056358080.0,"{ ""Mon"": [], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""7:00"", ""18:00""]], ""Sun"": [] }",
618014,sg:df67c8d01b5446c8b090c951c31fd190,,High Definition Lawn & Landscape,,,Building Material and Supplies Dealers,Hardware Stores,444130.0,35.585901,-97.531944,11415 N Wester Ave Ste 100,Oklahoma City,OK,73114,US,14054439090.0,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [] }",
618227,sg:f170f670227749e0abe70abc0348f558,,San Francisco Nails,,,Personal Care Services,Nail Salons,812113.0,35.578065,-97.566703,10706 N May Ave,Oklahoma City,OK,73120,US,14057499339.0,,
618907,sg:24440e3937124e23aad4aa7487117187,,Betties Pampered Pets,,,Other Personal Services,Pet Care (except Veterinary) Services,812910.0,35.445867,-97.406348,1921 S Air Depot Blvd,Oklahoma City,OK,73110,US,,,
618936,sg:26c5cce7b182463d85f72ed643eedf44,,Habitat for Humanity,SG_BRAND_78de657ea66ed5e1ca8e746054ec250c,Habitat for Humanity,Grantmaking and Giving Services,Other Grantmaking and Giving Services,813219.0,35.487384000000006,-97.51268,1800 N Broadway Ave,Oklahoma City,OK,73103,US,14052325592.0,,
619195,sg:3c1bae353b9a4e2ba633b6569454f41c,sg:110eaeafb20a41c493a552258cbe89b1,CBD Plus USA OKC North Meridian,,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191.0,35.523457,-97.600625,4491B NW 50th St Ste B,Oklahoma City,OK,73112,US,,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""12:00"", ""17:00""]] }",
619216,sg:3d60e49b8ba348f4b8cf0d61d83496ac,sg:7eda421be91f49c3810932cb64699983,Owen L Scott MD,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.525518,-97.584346,5401 N Portland Ave,Oklahoma City,OK,73112,US,14056044321.0,,
619718,sg:62828a8f86f2465e89c16aaadb6384e1,,Arby's,SG_BRAND_f004042e34f9a89a218a216365ccd2c4,Arby's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.604999,-97.548946,13300 N Pennsylvania Ave,Oklahoma City,OK,73120,US,14057527519.0,,"Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers"
620113,sg:7e9153e885974c3d967cbbe41c91a39a,,Taylor Topper Hair Studio,,,Personal Care Services,Beauty Salons,812112.0,35.492893,-97.60355899999999,4700 NW 23rd St Ste 5,Oklahoma City,OK,73127,US,14059430844.0,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""15:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }",
620695,sg:aa80c36482134890ba3f84c834c74984,,Midtown Vets,,,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940.0,35.478406,-97.517402,231 NW 10th St,Oklahoma City,OK,73103,US,14053090948.0,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""12:00""]], ""Sun"": [] }",
621128,sg:cebc1ab375e04eed98d7664ced9c0af3,,Westminster School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,35.515927000000005,-97.522644,600 NW 44th St,Oklahoma City,OK,73118,US,,,
621821,sg:04327cd4a47e457b82f2547bbc9967ae,sg:b2bbd2fe8e4d46afa9998520a173f39a,Armstrong McCall,SG_BRAND_98567a842853508791a2ced78ad749c1,Armstrong McCall,"Machinery, Equipment, and Supplies Merchant Wholesalers",Service Establishment Equipment and Supplies Merchant Wholesalers,423850.0,35.393413,-97.531151,7313 S Western Ave,Oklahoma City,OK,73139,US,14056314786.0,,
621980,sg:0f26a51e932941b192af5eccc29e8fdb,,Cornerstone Home Health,,,Home Health Care Services,Home Health Care Services,621610.0,35.509731,-97.600835,3824 N Meridian Ave,Oklahoma City,OK,73112,US,14053545454.0,"{ ""Mon"": [[""9:00"", ""16:30""]], ""Tue"": [[""9:00"", ""16:30""]], ""Wed"": [[""9:00"", ""16:30""]], ""Thu"": [[""9:00"", ""16:30""]], ""Fri"": [[""9:00"", ""13:00""]], ""Sat"": [], ""Sun"": [] }",
623011,sg:5d26ca70eb0d4e3c9d70e35bc1fb4074,,THB Counseling Tiffany Hawkins Berry LPC RPT,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,35.537209999999995,-97.569225,3033 NW 63rd St Ste 160E,Oklahoma City,OK,73116,US,14054374741.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",
623575,sg:8c23ec8a94c64f319ae2e4749a472a0a,,Victoria's Secret,SG_BRAND_2c77e3e0de6e42e5335b61881aac36a3,Victoria's Secret,Clothing Stores,Women's Clothing Stores,448120.0,35.525139,-97.545998,1900 NW Expressway,Oklahoma City,OK,73118,US,14058793401.0,,
623746,sg:98417ee545c64754a97149b0a2ad3485,,Broadway Inn And Suites,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,35.534347,-97.512967,6101 N Santa Fe Ave,Oklahoma City,OK,73118,US,,,
623807,sg:9c7db283343d4618a44e412325923391,,Gils Clothing & Denim Bar,,,,,,35.549725,-97.53021,7644 N Western Ave,Oklahoma City,OK,73116,US,14058480334.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""12:00"", ""17:00""]] }",
624002,sg:aa6ee5bc03e84d8fa19752c25ea0b0e8,,Polston Tax Resolution & Accounting,,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213.0,35.537718,-97.515925,201 NW 63rd St Ste 200,Oklahoma City,OK,73116,US,14056021818.0,,
624338,sg:c4af4d3894e04b86b792e9efa4a8481b,,Daniels Shoes,,,Shoe Stores,Shoe Stores,448210.0,35.552069,-97.619862,7929 N MacArthur Blvd,Oklahoma City,OK,73132,US,,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""19:00""]], ""Fri"": [[""9:30"", ""18:00""]], ""Sat"": [[""9:30"", ""18:00""]], ""Sun"": [[""13:00"", ""17:00""]] }",
624595,sg:d8cd51499bc24378a9a9f8cba1b0b39b,,Gulf Oil,SG_BRAND_8ee85aecc2a6b56be4a4e056c81d0b56,Gulf Oil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,35.450206,-97.42407299999999,5529 A 15th,Oklahoma City,OK,73115,US,,,
624743,sg:e4ce52c4e9ea4b259eda03168199fd9d,sg:8f1b75f27d594469b94e00c537242226,The Ritzy Gypsy,,,Clothing Stores,Women's Clothing Stores,448120.0,35.350518,-97.531498,11707 S Western Ave Ste B,Oklahoma City,OK,73170,US,14057357554.0,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",
625485,sg:1c5f54ba617940d5a95734e0daf63b65,,Yarnatopia,,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130.0,35.38279,-97.530614,8407 S Western Ave,Oklahoma City,OK,73139,US,14056019995.0,,
626237,sg:56913d794fa04b15b88396a657a59ed6,,Braum's Ice Cream and Dairy Stores,SG_BRAND_2dd33d7407feca02e4d46470ee63bb31,Braum's Ice Cream and Dairy Stores,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.390565,-97.564998,7512 S May Ave,Oklahoma City,OK,73159,US,,"{ ""Mon"": [[""6:00"", ""22:45""]], ""Tue"": [[""6:00"", ""22:45""]], ""Wed"": [[""6:00"", ""22:45""]], ""Thu"": [[""6:00"", ""22:45""]], ""Fri"": [[""6:00"", ""22:45""]], ""Sat"": [[""6:00"", ""22:45""]], ""Sun"": [[""6:00"", ""22:45""]] }","Snacks,Ice Cream Shop,Lunch,Casual Dining,Drive Through,Breakfast,Dessert,Dinner,Burgers"
626592,sg:72396c5490be4db08505edfb48987d49,,Walmart,SG_BRAND_04a8ca7bf49e7ecb4a32451676e929f0,Walmart,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,35.582409999999996,-97.639955,11101 N Rockwell Ave,Oklahoma City,OK,73162,US,,"{ ""Mon"": [[""6:00"", ""24:00""]], ""Tue"": [[""6:00"", ""24:00""]], ""Wed"": [[""6:00"", ""24:00""]], ""Thu"": [[""6:00"", ""24:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""24:00""]] }",
626907,sg:8a085c2fcacf4b3db7620f1d43e70f58,,Above All Real Estate,,,Depository Credit Intermediation,Commercial Banking,522110.0,35.559309999999996,-97.65201400000001,8801 Commerce Park Dr Ste B,Oklahoma City,OK,73132,US,14057314400.0,,
627265,sg:a5f335039a9e460b8ece6362fc8c85d7,,Sebastian Oukassou COUNTRY Financial representative,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.536186,-97.58578100000001,3817 NW Expressway Ste 730,Oklahoma City,OK,73112,US,14059450221.0,,
627314,sg:a8ac7cc49d8f47cc8f52ceb6e8698256,,Leap Coffee Roasters,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.52296,-97.51025,44 NE 51st St Ste A,Oklahoma City,OK,73105,US,14056025800.0,,Coffee Shop
627426,sg:b0bc8285250c4aee840d35821fd60461,,FedEx,SG_BRAND_51f62da8d76022e2,FedEx,Couriers and Express Delivery Services,Couriers and Express Delivery Services,492110.0,35.555833,-97.635358,6900 NW Expressway,Oklahoma City,OK,73132,US,14057732000.0,"{ ""Mon"": [[""7:30"", ""21:00""]], ""Tue"": [[""7:30"", ""21:00""]], ""Wed"": [[""7:30"", ""21:00""]], ""Thu"": [[""7:30"", ""21:00""]], ""Fri"": [[""7:30"", ""21:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",
627742,sg:cb08e41116274d8d91d9e318ec4c98e0,,Ripper Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,35.502393,-97.650926,7800 NW 30th,Oklahoma City,OK,73008,US,14057873308.0,,
628249,sg:f174a98e55f04a96856cd636d04ddd46,,Advantage 1,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,35.435753000000005,-97.43129,4719 SE 29th St,Oklahoma City,OK,73115,US,14056199485.0,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",
628496,sg:03e64be2607c4192b87af13afc0b94a2,,Trailer Trash Treatz,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.347599,-97.568898,3100 SW 119th St,Oklahoma City,OK,73170,US,,"{ ""Mon"": [[""13:00"", ""21:00""]], ""Tue"": [[""13:00"", ""21:00""]], ""Wed"": [[""13:00"", ""21:00""]], ""Thu"": [[""13:00"", ""21:00""]], ""Fri"": [[""13:00"", ""21:00""]], ""Sat"": [[""13:00"", ""21:00""]], ""Sun"": [[""13:00"", ""21:00""]] }",Ice Cream Shop
628531,sg:065f3ff3608a45db8fbd73ab496b4fd3,,Central High School Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110.0,35.466599,-97.516586,7 N Robinson Ave,Oklahoma City,OK,73102,US,14052912503.0,,
628952,sg:26c3e9b390aa4ff1a4fcd16a45399cfc,,AutobyNet,,,Automobile Dealers,Used Car Dealers,441120.0,35.506996,-97.566379,3621 N May Ave,Oklahoma City,OK,73112,US,14058180797.0,"{ ""Mon"": [[""9:00"", ""19:00""]], ""Tue"": [[""9:00"", ""19:00""]], ""Wed"": [[""9:00"", ""19:00""]], ""Thu"": [[""9:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [] }",
629059,sg:2e6b3c36e1de43d6abfdc9536b0895c9,,FAA Crashpads,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,35.407364,-97.656867,5807 Sanabel Ct,Oklahoma City,OK,73179,US,17193990049.0,,
629410,sg:47e624623675485ab90f6ededea833b0,,SuperStarMotorsports,,,Automobile Dealers,Used Car Dealers,441120.0,35.451825,-97.582823,1312 S Portland Ave,Oklahoma City,OK,73108,US,14052052623.0,,
629426,sg:49db8bddb0704aaaa25bb6ee8ea08f5b,,Debra O'Toole RE MAX Preferred Properties,,,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210.0,35.567731,-97.566539,9520 N May Ave,Oklahoma City,OK,73120,US,14056417745.0,,
630028,sg:77abb56364f74961acecef6423cbdca8,,Mariscos Mazatlan,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.431418,-97.516364,3325 S Robinson Ave,Oklahoma City,OK,73109,US,14056311755.0,,Seafood
632291,sg:25fd402e962a4bd080e1b69af48ea897,,McAlister's Deli,SG_BRAND_a7b1ab4c6661237b2868db054a99f47f,McAlister's Deli,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.363814,-97.529481,10440 S Western Ave Ste A,Oklahoma City,OK,73139,US,14056913354.0,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""22:00""]] }","Counter Service,Salad,Sandwich Shop,Lunch,Deli,Catering,Soup,Dinner"
632389,sg:2deed1f98a6142c6bfd521da9b0bb72a,sg:86099067b9ba4b0a9f4eb23bc0a77804,Blaze Pizza,SG_BRAND_3ec55915632329d9d8fdaacd011d8e16,Blaze Pizza,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.608079,-97.55761899999999,2410 W Memorial Rd,Oklahoma City,OK,73134,US,14052561362.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""10:00"", ""21:00""]] }","Pizza,Counter Service,Lunch,Dinner"
632923,sg:52b019b8978c44f0958bf7a30cfd2508,sg:700c69a88deb4ca3906392feff0a9c08,Urology Associates,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.582508000000004,-97.582441,11000 Hefner Pointe Dr,Oklahoma City,OK,73120,US,14057499655.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""15:00""]], ""Sat"": [], ""Sun"": [] }",
633298,sg:6cacd98a8c4449b199faffa306694a48,sg:5d38c02bb8494eb49dff4a31ff7e3bc8,Knockouts,SG_BRAND_766c4abf9968b668d347b7ca153aa277,Knockouts,Personal Care Services,Barber Shops,812111.0,35.554056,-97.627073,6401 NW Expressway,Oklahoma City,OK,73132,US,14057225656.0,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",
633773,sg:933244c8031d4d7cae237f64f6749e50,,La Salsa Grille,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.49263,-97.601612,2329 N Meridian Ave,Oklahoma City,OK,73107,US,14056045419.0,"{ ""Mon"": [[""10:30"", ""21:00""]], ""Tue"": [[""10:30"", ""21:00""]], ""Wed"": [[""10:30"", ""21:00""]], ""Thu"": [[""10:30"", ""21:00""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""20:30""]] }",Mexican Food
635012,sg:f48516902e014c1796c40213423c39f8,sg:03b61e821c45488faad76bfcdb926370,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.481186,-97.497725,1200 N. Childrens Avenue Ou Medical Center Childre,Oklahoma City,OK,73104,US,14052710258.0,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""11:00"", ""19:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner"
635268,sg:08086f67e2304825ba52b0511fb1ad72,,Babes N Gents Child Dev Llc,,,Child Day Care Services,Child Day Care Services,624410.0,35.479279999999996,-97.67364,9005 NW 10th St,Oklahoma City,OK,73127,US,14053843047.0,,
636187,sg:4bedc76f2b204daa9e702fd10fcf81e3,sg:fec0b821d4be4d60a3f2ae4118ec0a0c,Deluxe Nails,,,,,,35.581183,-97.566582,10904 N May Ave Ste B1,Oklahoma City,OK,73120,US,,,
636285,sg:52e5665982f04e078c5ece36806a1d05,,Bank of the West,SG_BRAND_7fd8ed54dd3704bd171886a6eb170711,Bank of the West,Depository Credit Intermediation,Commercial Banking,522110.0,35.376791,-97.545888,1600 SW 89th St,Oklahoma City,OK,73159,US,14056918874.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
636332,sg:56afb09282584c6a9d4ad1b26078e06b,,Jc Autorepair,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,35.478428,-97.592528,4100 NW 10th St,Oklahoma City,OK,73107,US,14056053737.0,,
636591,sg:687577e01a2843378585578651fd8e29,,Sharkey's Cuts for Kids,SG_BRAND_263b895304005e5506e0003e6b01eff7,Sharkey's Cuts for Kids,Personal Care Services,Beauty Salons,812112.0,35.361160999999996,-97.546576,10700 S Pennsylvania Ave,Oklahoma City,OK,73170,US,14056922887.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",
636688,sg:6f6cadde55b243c5bb1a68d403638c00,sg:1ecdadf6ac984aef80b33dd1e5d75137,Okc Commun College Cdc,,,Child Day Care Services,Child Day Care Services,624410.0,35.387713,-97.570139,7777 S May Ave,Oklahoma City,OK,73159,US,14056827561.0,,
637074,sg:90479b407aab44cba79970779961e6c0,,INTEGRIS Health,SG_BRAND_714773b72fe5fddd0f27426485ff3532,INTEGRIS Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.527065,-97.575652,3330 NW 56th St Ste 500,Oklahoma City,OK,73112,US,14057137060.0,,
637834,sg:ca2d6926964d43c29b807f0e7c2ddb73,,Alethia Temple Pentecostal Holiness Church,,,Religious Organizations,Religious Organizations,813110.0,35.454501,-97.35376,1121 S Post Rd,Oklahoma City,OK,73130,US,14057374088.0,,
638109,sg:df27282342da437a9b6c4dfc345f04a4,,God's Little Treasures,,,Child Day Care Services,Child Day Care Services,624410.0,35.56236,-97.656836,8007 NW 89th St,Oklahoma City,OK,73132,US,14057202232.0,,
638304,sg:ee9b3f05dd004ef4adbd4204bd813599,,Baskin Robbins,SG_BRAND_963fde2041e158441c414f9defe1a2cf,Baskin Robbins,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.493512,-97.51866600000001,323 NW 23rd St,Oklahoma City,OK,73103,US,,,"Snacks,Counter Service,Ice Cream Shop,Dessert,Bakery"
638775,sg:1117f67ade88426ab3b7f271836f1656,,St John's Episcopal School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,35.525021,-97.568724,5401 N Brookline Ave,Oklahoma City,OK,73112,US,,,
639774,sg:5acd0b70c7204e2d867d67df3e0b80eb,,Children's Quest,,,Child Day Care Services,Child Day Care Services,624410.0,35.487502,-97.475585,2016 NE 18th St,Oklahoma City,OK,73111,US,14054277380.0,,
640274,sg:7f6bd77e69cd4ddb912f7a5cb78bb921,sg:27f6778a890d472299d86687d71e3b68,Schnebel Brock MD,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,35.568084000000006,-97.511715,9600 Broadway Ext,Oklahoma City,OK,73114,US,,,
640776,sg:a8364eb5cd3a4236bdf0bf61ce015ea0,,Cvltivation Clvb,,,Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,424210.0,35.472946,-97.528052,918 NW 5th St,Oklahoma City,OK,73106,US,14052352582.0,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [] }",
